action,filename,index,photoStatus,resourceName,status,timestamp
create,IMG_4125.JPG,1,照片未更新,people/c6304413508464608942,success,2025-10-15T00:02:04
create,IMG_4040.JPG,2,照片未更新,people/c5188387486636095631,success,2025-10-15T00:02:08
create,IMG_3727.JPG,3,照片未更新,people/c1257763468920949634,success,2025-10-15T00:02:13
create,IMG_3688.JPG,4,照片未更新,people/c4060938434496114938,success,2025-10-15T00:02:19
create,IMG_3676.JPG,5,照片未更新,people/c3929931486677284836,success,2025-10-15T00:02:22
