action,filename,index,photoStatus,resourceName,status,timestamp
create,IMG_4352.JPG,1,照片未更新,people/c276825799377966682,success,2025-10-09T18:05:26
create,IMG_4354.JPG,2,照片未更新,people/c108653902491686250,success,2025-10-09T18:05:29
create,IMG_4355.JPG,3,照片未更新,people/c7119730311400858445,success,2025-10-09T18:05:33
create,IMG_4356.JPG,4,照片未更新,people/c6021897154732019264,success,2025-10-09T18:05:36
create,IMG_4359.JPG,5,照片未更新,people/c142090197052750658,success,2025-10-09T18:05:40
