action,filename,index,photoStatus,resourceName,status,timestamp
create,IMG_4337.JPG,1,照片未更新,people/c6846686675510784486,success,2025-10-09T18:00:10
create,IMG_4338.JPG,2,照片未更新,people/c4392947360794913053,success,2025-10-09T18:00:13
create,IMG_4339.JPG,3,照片未更新,people/c8485739136612289872,success,2025-10-09T18:00:17
create,IMG_4340.JPG,4,照片未更新,people/c8957770299542640827,success,2025-10-09T18:00:20
create,IMG_4341.JPG,5,照片未更新,people/c311117344355683855,success,2025-10-09T18:00:25
